Series_Name,Country_Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Current health expenditure per capita (current US$),Kyrgyzstan,12.29036808,13.16161728,14.77255917,22.32097054,27.23155403,36.11393356,45.97068405,50.84462738,63.82300568,60.65092087,61.45378494,79.82953644,99.98524475,104.7845841,94.01564789,80.11972809
Current health expenditure per capita (current US$),Lao People's Democratic Republic,14.38795185,14.76590061,13.1817894,17.97390747,16.57514763,17.68591881,19.59955788,25.21406746,27.1896553,36.23551178,34.97488022,27.45368385,32.83571243,43.81321716,45.93084335,52.37848282
Current health expenditure per capita (current US$),Latvia,181.5707245,205.0204773,237.295166,280.5087891,393.2980652,440.8097534,552.3015747,775.1915283,913.5214844,744.6616211,689.0772095,764.5917358,745.5174561,807.1300049,856.7665405,775.8643189
Current health expenditure per capita (current US$),Lebanon,479.6019898,459.4657898,418.0903015,385.026947,370.4224548,345.3574219,400.7099915,445.7762451,477.757019,515.3891602,577.359375,627.6420898,633.5097046,600.7730103,605.2432861,587.4569092
Current health expenditure per capita (current US$),Lesotho,26.23996544,26.13252449,22.34071541,31.49400139,40.47372437,40.76879501,48.55776596,65.21094513,68.62264252,80.58473969,94.69707489,125.0348663,117.1376953,116.8080139,113.7230988,103.6326523
Current health expenditure per capita (current US$),Liberia,12.50086308,10.08628559,8.54358292,7.72558451,22.52964973,26.44708443,25.11979103,37.23071289,35.63352966,44.75388718,45.5770874,55.07883072,56.53076553,59.07529831,65.21392822,73.39692688
Current health expenditure per capita (current US$),Libya,244.6750031,253.9099121,180.9859467,189.6885071,201.769455,212.0568085,234.7842255,275.479126,321.2136231,355.186615,399.019165,309.8786621,..,..,..,..
Current health expenditure per capita (current US$),Lithuania,217.1761322,218.8180237,254.3668823,338.8630676,366.9596863,438.9326782,536.0573731,704.2931519,936.5093384,864.7363892,805.2244873,925.4716187,896.9370728,958.9271851,1021.232971,920.1997681
Current health expenditure per capita (current US$),Luxembourg,2901.199951,3109.201416,3600.867432,4607.402832,5610.353516,5818.145996,6070.73584,6671.265137,7578.749512,7670.59375,7459.835449,7174.739258,6029.475098,6356.644531,6547.034668,5421.932129
Current health expenditure per capita (current US$),Madagascar,12.86519241,15.53348637,15.12862587,17.46053123,15.03719425,16.50335312,17.19776154,19.67164612,22.19978905,20.83815002,21.95882225,23.59220695,19.57540894,19.53066635,22.99704552,22.90582275
Current health expenditure per capita (current US$),Malawi,9.09148884,7.73601103,11.26799107,12.50175095,16.20174026,17.5325985,21.31405258,25.46150398,33.32744598,36.23827744,34.66256714,40.08781815,33.20030212,40.3452301,36.05779648,35.68380356
Current health expenditure per capita (current US$),Malaysia,111.3384934,114.6087189,121.8090744,142.7466888,154.9348755,163.9327393,203.2125397,233.8564301,268.3900452,250.2592316,292.0030212,352.2692261,382.6615295,391.8995667,427.6607056,379.9004822
Current health expenditure per capita (current US$),Maldives,221.9207306,230.1708679,247.301651,235.6195221,294.9519043,321.3184204,387.1233215,462.9902344,758.7109985,669.8102417,600.6443481,577.6629639,630.1425171,645.0605469,672.1196289,785.0316162
Current health expenditure per capita (current US$),Mali,14.75309944,13.89508247,16.74376488,19.82828903,22.97034264,25.39648056,28.51480293,31.34812164,35.02916718,36.54620361,33.20299911,33.59200668,29.21658516,31.9307003,37.96685791,30.8840313
Current health expenditure per capita (current US$),Malta,647.1015015,685.9840088,830.6463013,1074.09314,1223.857422,1379.686401,1474.484497,1596.123169,1751.165039,1677.362305,1733.668823,1960.061157,1898.60144,2121.082275,2456.434814,2243.467041
Current health expenditure per capita (current US$),Marshall Islands,430.9180603,386.6804199,361.0734558,351.0636902,421.2368164,543.7558594,562.3250732,476.0579529,461.6322327,437.6483154,449.4134827,453.5579834,471.8939209,492.9692993,476.2593079,546.9879761
Current health expenditure per capita (current US$),Mauritania,22.87253761,23.09371185,25.60963631,28.95334435,30.72266579,33.05524826,34.04533005,39.03982544,47.60751343,43.22557068,42.47654724,46.50239563,48.08863068,54.26546097,58.04791641,55.98908615
Current health expenditure per capita (current US$),Mauritius,118.9770737,119.4685364,135.9414368,162.0018463,189.9288025,197.6750488,209.1485443,235.8505707,321.8163147,310.1556091,367.1207886,396.6121521,398.1218872,452.455658,559.4445801,529.161377
Current health expenditure per capita (current US$),Mexico,318.4615173,363.673584,385.0985107,411.4224243,445.6203919,483.0953674,512.8331909,556.0402832,570.8305054,490.5658569,553.9777832,581.7102661,598.3488159,637.159668,614.9742432,556.8665772
Current health expenditure per capita (current US$),Micronesia (Federated States of),168.4578552,190.0736847,178.5595856,219.3636017,270.7167969,417.7243652,257.90271,272.1109619,304.5819397,341.3183594,378.2447815,393.6810303,384.1512146,363.263031,348.3200989,361.4720764
Current health expenditure per capita (current US$),Moldova,21.37988472,25.39859009,33.9242363,38.43836975,64.60714722,79.33213043,100.1081619,135.4436646,185.5611572,208.5300446,198.2889404,214.9824677,223.6189575,231.6622925,230.7698212,186.4364319
Current health expenditure per capita (current US$),Monaco,1408.094238,1431.0979,1560.757202,2214.744141,2570.390137,2628.193115,2706.681885,3039.027832,3573.521484,3523.19043,3509.358887,3677.420166,3519.940674,3817.898682,3947.423584,3365.927246
Current health expenditure per capita (current US$),Mongolia,27.00856018,26.48761559,29.65744781,26.50799942,33.172966,37.50867462,50.02914047,66.53733063,97.36168671,76.45706177,98.84479523,134.7506256,167.7624207,177.582489,174.2423554,166.0827789
Current health expenditure per capita (current US$),Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),Morocco,53.68618393,55.9498291,63.52367401,79.60365295,93.63453674,97.53405762,110.1037979,137.5432739,155.5387726,169.9503632,169.009491,177.2804108,169.9576721,180.2019806,170.7411346,148.0387421
Current health expenditure per capita (current US$),Mozambique,7.10689354,8.87072754,10.28336811,11.53792667,14.07469845,18.23710632,17.79965973,19.75497627,24.3008213,26.94626808,25.1751461,29.33419418,34.50271606,40.73832703,42.45389938,39.61871719
Current health expenditure per capita (current US$),Myanmar,4.33537483,4.48454952,6.86361122,6.37247419,6.79912138,7.41623688,8.21358681,9.61486912,14.25486851,18.11137199,19.6023674,26.56099129,36.11348343,36.53030014,52.62075806,61.70107269
Current health expenditure per capita (current US$),Namibia,213.267273,188.2023163,179.5495911,263.3314819,358.1589356,386.4403381,416.1722107,469.6120911,412.7146301,383.662262,517.2376099,562.5910645,550.4981079,488.8635254,459.9441834,488.6906128
Current health expenditure per capita (current US$),Nauru,456.1726379,346.1298218,298.3062744,275.3778076,219.6870422,335.6072998,371.0635071,598.220398,819.0628662,566.4799805,651.531311,697.8994141,886.1394043,838.4356079,1007.96936,1143.246582
Current health expenditure per capita (current US$),Nepal,8.55345249,10.52144337,10.71954441,11.33715725,13.22838974,14.45738506,13.94222355,17.40269661,19.09256172,21.09090996,29.98280716,34.68226624,34.3300705,36.02222443,43.16950226,47.8875351
Current health expenditure per capita (current US$),Netherlands,2028.181396,2175.730469,2544.813721,3244.356445,3689.464355,3823.480957,4080.219727,4696.141602,5382.445801,5282.743164,5191.693848,5562.121094,5284.649902,5532.726563,5601.885742,4676.57666
